excel_row,machine_group,min_gage,max_gage,min_len,max_len,gcsp,score_real,score_lp,score_lpfa,score_hv,score_nn,is_nn_pick,is_optimum,rank_real,pct_optimum
214,cut/ strip &crimp,0.13,0.13,17001.0,19000.0,5.4351,32,16,16,0,33.8177,0,0,472,35.96
217,cut/strip & crimp with seal one side,0.22,6.0,60.0,100.0,1.20888888888889,48,21,21,6,48.1161,0,0,196,53.93
218,cut/strip & crimp with seal one side,0.22,6.0,101.0,1000.0,1.2089,44,21,21,2,44.3821,0,0,225,49.44
219,cut/strip & crimp with seal one side,0.22,6.0,1001.0,2000.0,1.37428571428571,44,21,21,2,44.3701,0,0,226,49.44
220,cut/strip & crimp with seal one side,0.22,6.0,2001.0,3000.0,1.53584415584416,44,21,21,2,44.3495,0,0,227,49.44
221,cut/strip & crimp with seal one side,0.22,6.0,3001.0,4000.0,1.67619047619048,44,21,21,2,44.347,0,0,260,49.44
222,cut/strip & crimp with seal one side,0.22,6.0,4001.0,5000.0,1.81648351648352,44,21,21,2,44.3514,0,0,261,49.44
223,cut/strip & crimp with seal one side,0.22,6.0,5001.0,6000.0,1.97755102040816,44,21,21,2,44.3466,0,0,233,49.44
224,cut/strip & crimp with seal one side,0.22,6.0,6001.0,7000.0,2.09695238095238,44,21,21,2,44.3436,0,0,234,49.44
225,cut/strip & crimp with seal one side,0.22,6.0,7001.0,8000.0,2.25716814159292,44,21,21,2,44.3407,0,0,235,49.44
226,cut/strip & crimp with seal one side,0.22,6.0,8001.0,9000.0,2.43866666666667,44,21,21,2,44.3365,0,0,239,49.44
227,cut/strip & crimp with seal one side,0.22,6.0,9001.0,11000.0,2.63641791044776,44,21,21,2,44.3184,0,0,238,49.44
228,cut/strip & crimp with seal one side,0.22,6.0,11001.0,13000.0,2.89621621621622,44,21,21,2,44.3253,0,0,241,49.44
229,cut/strip & crimp with seal one side,0.22,6.0,13001.0,15000.0,3.1,44,21,21,2,44.3214,0,0,245,49.44
230,cut/strip & crimp with seal one side,0.22,6.0,15001.0,17000.0,3.30378378378378,44,21,21,2,44.309,0,0,240,49.44
231,cut/strip & crimp with seal one side,0.22,6.0,17001.0,19000.0,3.50756756756757,44,21,21,2,44.2895,0,0,242,49.44
234,cut/strip & crimp with seal one side with CPS option,0.22,6.0,60.0,100.0,1.317,48,21,21,6,48.1151,0,0,194,53.93
235,cut/strip & crimp with seal one side with CPS option,0.22,6.0,101.0,1000.0,1.317,44,21,21,2,44.3666,0,0,243,49.44
236,cut/strip & crimp with seal one side with CPS option,0.22,6.0,1001.0,2000.0,1.477,44,21,21,2,44.358,0,0,244,49.44
237,cut/strip & crimp with seal one side with CPS option,0.22,6.0,2001.0,3000.0,1.647,44,21,21,2,44.3389,0,0,253,49.44
238,cut/strip & crimp with seal one side with CPS option,0.22,6.0,3001.0,4000.0,1.787,44,21,21,2,44.3404,0,0,246,49.44
239,cut/strip & crimp with seal one side with CPS option,0.22,6.0,4001.0,5000.0,1.927,44,21,21,2,44.3456,0,0,247,49.44
240,cut/strip & crimp with seal one side with CPS option,0.22,6.0,5001.0,6000.0,2.087,44,21,21,2,44.3418,0,0,248,49.44
241,cut/strip & crimp with seal one side with CPS option,0.22,6.0,6001.0,7000.0,2.207,44,21,21,2,44.3382,0,0,361,49.44
242,cut/strip & crimp with seal one side with CPS option,0.22,6.0,7001.0,8000.0,2.367,44,21,21,2,44.3361,0,0,369,49.44
243,cut/strip & crimp with seal one side with CPS option,0.22,6.0,8001.0,9000.0,2.547,44,21,21,2,44.3323,0,0,368,49.44
244,cut/strip & crimp with seal one side with CPS option,0.22,6.0,9001.0,11000.0,2.747,44,21,21,2,44.316,0,0,367,49.44
245,cut/strip & crimp with seal one side with CPS option,0.22,6.0,11001.0,13000.0,3.007,44,21,21,2,44.3232,0,0,366,49.44
246,cut/strip & crimp with seal one side with CPS option,0.22,6.0,13001.0,15000.0,3.207,44,21,21,2,44.3206,0,0,373,49.44
247,cut/strip & crimp with seal one side with CPS option,0.22,6.0,15001.0,17000.0,3.407,44,21,21,2,44.309,0,0,372,49.44
248,cut/strip & crimp with seal one side with CPS option,0.22,6.0,17001.0,19000.0,3.607,44,21,21,2,44.2854,0,0,381,49.44
251,cut & crimp with seal both sides,0.22,6.0,60.0,100.0,1.38,48,21,21,6,48.1213,0,0,200,53.93
252,cut & crimp with seal both sides,0.22,6.0,101.0,1000.0,1.38,44,21,21,2,44.3646,0,0,370,49.44
253,cut & crimp with seal both sides,0.22,6.0,1001.0,2000.0,1.5,44,21,21,2,44.3538,0,0,371,49.44
254,cut & crimp with seal both sides,0.22,6.0,2001.0,3000.0,1.61,44,21,21,2,44.3423,0,0,380,49.44
255,cut & crimp with seal both sides,0.22,6.0,3001.0,4000.0,1.74,44,21,21,2,44.3434,0,0,374,49.44
256,cut & crimp with seal both sides,0.22,6.0,4001.0,5000.0,1.87,44,21,21,2,44.3487,0,0,375,49.44
257,cut & crimp with seal both sides,0.22,6.0,5001.0,6000.0,2.01,44,21,21,2,44.3452,0,0,376,49.44
258,cut & crimp with seal both sides,0.22,6.0,6001.0,7000.0,2.16,44,21,21,2,44.3404,0,0,377,49.44
